"","code","sections","college","sub_college","abbr","no","title","student","A","tgp","avg"
"1","A A 198",8,NA,NA,"A A",198,"SPECIAL TOPICS",200,72,732.6,3.663
"2","A A 210",34,NA,NA,"A A",210,"ENGR STATICS",5112,340,15863.5,3.10318857589984
"3","A A 260",17,NA,NA,"A A",260,"THERMODYNAMICS",1390,123,4147.9,2.98410071942446
"4","A A 301",8,NA,NA,"A A",301,"COMP AERODYNAMICS",530,54,1740.7,3.28433962264151
"5","A A 302",9,NA,NA,"A A",302,"INCOMP AERODYNAMICS",608,40,2023.1,3.32746710526316
"6","A A 310",10,NA,NA,"A A",310,"ORB SPACE FLIGHT",694,78,2221.6,3.20115273775216
"7","A A 311",10,NA,NA,"A A",311,"ATM FLIGHT MECH",688,73,2202.2,3.20087209302326
"8","A A 312",9,NA,NA,"A A",312,"STRUCT VIBRATIONS",608,103,1986.9,3.26792763157895
"9","A A 320",8,NA,NA,"A A",320,"AEROSPACE INSTR",549,67,1776.2,3.23533697632058
"10","A A 321",12,NA,NA,"A A",321,"AEROSPACE LAB I",812,100,2671.3,3.28977832512315
"11","A A 322",9,NA,NA,"A A",322,"AEROSPACE LAB II",591,142,2072.6,3.50693739424704
"12","A A 331",9,NA,NA,"A A",331,"AEROSPACE STRUCT I",610,63,2069,3.39180327868852
"13","A A 332",8,NA,NA,"A A",332,"AEROSPACE STRUCT II",542,54,1813,3.3450184501845
"14","A A 360",8,NA,NA,"A A",360,"PROPULSION",524,45,1767,3.37213740458015
"15","A A 400",4,"College of Engineering","College of Engineering","A A",400,"GAS DYNAMICS",107,17,362.8,3.39065420560748
"16","A A 402",10,NA,NA,"A A",402,"FLUID MECHANICS",309,39,1033.8,3.34563106796116
"17","A A 405",10,NA,NA,"A A",405,"AEROSPACE PLASMAS",301,36,948.8,3.15215946843854
"18","A A 410",8,NA,NA,"A A",410,"AIRCRAFT DESIGN I",300,95,1069.6,3.56533333333333
"19","A A 411",8,NA,NA,"A A",411,"AIRCRAFT DESIGN II",300,96,1069.6,3.56533333333333
"20","A A 419",8,"College of Engineering","College of Engineering","A A",419,"AEROSPACE HEAT TSFR",233,19,766,3.28755364806867
"21","A A 420",8,NA,NA,"A A",420,"SPACE SYS DESIGN I",198,61,718.9,3.63080808080808
"22","A A 421",8,NA,NA,"A A",421,"SPACE SYS DESIGN II",198,61,718.9,3.63080808080808
"23","A A 430",9,NA,NA,"A A",430,"FINTE ELEMENT ANALYS",326,37,1103.1,3.38374233128834
"24","A A 432",8,NA,NA,"A A",432,"AERO COMPOSITES",207,17,685.4,3.31111111111111
"25","A A 440",8,NA,NA,"A A",440,"FLIGHT MECH I",226,27,761.6,3.36991150442478
"26","A A 441",9,NA,NA,"A A",441,"FLIGHT TEST ENGR",221,80,786.7,3.55972850678733
"27","A A 447",11,NA,NA,"A A",447,"CONT IN AEROSP",731,79,2336.8,3.19671682626539
"28","A A 448",10,NA,NA,"A A",448,"CTRL SYS SEN & ACT",246,41,847.3,3.44430894308943
"29","A A 461",9,NA,NA,"A A",461,"ADVANCED PROPULSION",291,29,945.4,3.24879725085911
"30","A A 462",9,NA,NA,"A A",462,"ROCKET PROPULSION",265,56,913.1,3.44566037735849
"31","A A 470",5,"College of Engineering","College of Engineering","A A",470,"SYSTEMS ENGINEERING",97,22,345.8,3.56494845360825
"32","A A 498",4,"College of Engineering","College of Engineering","A A",498,"SPECIAL TOPICS",93,20,312.4,3.35913978494624
"33","A A 501",1,NA,NA,"A A",501,"PHYS GASDYNMCS I",24,10,88.8,3.7
"34","A A 503",3,NA,NA,"A A",503,"CONTINUUM MECH",52,5,174.8,3.36153846153846
"35","A A 504",3,"College of Engineering","College of Engineering","A A",504,"COMP FLUID MECH",51,14,180.4,3.53725490196078
"36","A A 507",3,NA,NA,"A A",507,"FLUID MECHANICS",58,8,201.4,3.47241379310345
"37","A A 508",1,NA,NA,"A A",508,"TURBULANCE",16,6,59.2,3.7
"38","A A 516",3,NA,NA,"A A",516,"STAB & CON FLT VEH",57,20,202.7,3.55614035087719
"39","A A 527",3,"College of Engineering","College of Engineering","A A",527,"SPACE POWER SYSTEM",77,17,271.9,3.53116883116883
"40","A A 528",3,NA,NA,"A A",528,"SPACE DYN & CONTROL",64,17,228.8,3.575
"41","A A 529",3,NA,NA,"A A",529,"SPACE PROPULSION",55,16,192.5,3.5
"42","A A 530",11,NA,NA,"A A",530,"MECHANICS OF SOLIDS",214,42,727,3.39719626168224
"43","A A 531",1,NA,NA,"A A",531,"INTEG MET STRUCT",15,0,51,3.4
"44","A A 532",7,NA,NA,"A A",532,"MECH COMP MATERIALS",160,21,541.3,3.383125
"45","A A 533",1,NA,NA,"A A",533,"MTRLS &PROCESS TECH",16,6,54.4,3.4
"46","A A 534",1,NA,NA,"A A",534,"COMPOSITE STRUCT",18,6,66.6,3.7
"47","A A 540",11,NA,NA,"A A",540,"FINITE ELM ANLYS I",304,72,1061,3.49013157894737
"48","A A 541",3,NA,NA,"A A",541,"FINITE ELM ANLYS II",58,12,214.6,3.7
"49","A A 543",5,NA,NA,"A A",543,"CFD",109,18,369.1,3.38623853211009
"50","A A 547",7,"College of Engineering","College of Engineering","A A",547,"LINEAR SYSTEMS",120,21,426.4,3.55333333333333
"51","A A 548",2,NA,NA,"A A",548,"LIN MULTVAR CONTROL",30,11,109.5,3.65
"52","A A 580",1,NA,NA,"A A",580,"GEOMETRIC METHODS",15,9,57,3.8
"53","A A 597",1,NA,NA,"A A",597,"NETWORKED DYN SYS",17,6,62.9,3.7
"54","A A 598",3,NA,NA,"A A",598,"SPECIAL TOPICS",72,12,251.1,3.4875
"55","A E 501",8,"College of Engineering","College of Engineering","A E",501,"ANALYTICAL METHODS",294,12,944.3,3.21190476190476
"56","A E 510",1,NA,NA,"A E",510,"LINEAR SYSTEMS",23,7,80.5,3.5
"57","A E 512",1,NA,NA,"A E",512,"STABILITY & CONTROL",23,4,73.6,3.2
"58","A E 519",1,NA,NA,"A E",519,"AE TOPICS: CONTROLS",17,3,57.8,3.4
"59","A E 520",3,"College of Engineering","College of Engineering","A E",520,"FUND FLUID DYNAMICS",105,12,367.5,3.5
"60","A E 521",1,"College of Engineering","College of Engineering","A E",521,"AIRCRAFT PROPULSIONS",19,3,64.6,3.4
"61","A E 522",1,NA,NA,"A E",522,"ROCKET PROPULSION",23,4,73.6,3.2
"62","A E 523",2,"College of Engineering","College of Engineering","A E",523,"AIRCRAFT NOISE",34,6,115.6,3.4
"63","A E 529",2,"College of Engineering","College of Engineering","A E",529,"AE TOPICS: FLUIDS",34,3,116,3.41176470588235
"64","A E 532",1,NA,NA,"A E",532,"ROCKET PROPULSION",17,3,61.2,3.6
"65","A E 540",4,NA,NA,"A E",540,"MECHANICS OF SOLIDS",86,11,287.5,3.34302325581395
"66","A E 541",2,NA,NA,"A E",541,"FINITE ELM ANALYSIS",62,8,213,3.43548387096774
"67","A E 542",3,"College of Engineering","College of Engineering","A E",542,"FATIGUE & FRACTURE",54,29,200.4,3.71111111111111
"68","A E 544",1,NA,NA,"A E",544,"ADDITIVE MANUFACTUR",17,5,61.2,3.6
"69","A E 549",2,NA,NA,"A E",549,"AE TOPICS: STRUC",62,18,226.8,3.65806451612903
